variable,type,units,description
site,string,,site
spp,string,,species
indiv,numeric,,individual
leaf_type,string,,leaf type: simple or compound
no_leaves,numeric,number,number of leaves sampled
total_mass,numeric,gr,total mass of leaves
total_area,numeric,mm2,total area of leaves
leaf_size,numeric,mm2,"average area per leaf, = total_area / no_leaves"
lma_leaf,numeric,mg mm-2,leaf mass per area for entire leaf = 1000*total_mass/total_area
rachis_mass,numeric,gr,mass of rachis (zero for simple leaves)
rachis_area,numeric,mm2,projected area of rachis (zero for simple leaves)
no_leaflets,numeric,number,total number of leaflets sampled
leaflet_size,numeric,mm2,"average area per leaflet, = (total_area - rachis_area)/ no_leaflets"
lma_leaflet,numeric,mg/mm2,leaf mass per area for leaflet = 1000*(total_mass-rachis_mass)/(total_area-rachis_area)
