variable,type,units,description,notes
site,string,,,
spp,string,,6 letter species code,see species list for translation
indiv,numeric,number,individual,"values 1-3 are were taken from individuals where biomass of terminal meter of stem was also harvested (see biomass dataset), while 'x' is used for additional individuals"
segment,string,,location of sample. Samples were taken 250mm & 1000mm from tip of a leading branch; and also at base of plant with a small core.,
length,numeric,mm,length of sample,
displacement_mass_stem,numeric,g,displacement mass of whole stem segment when submerged in water,
dry_mass_stem,numeric,g,dry mass of whole stem segment,
denisty_stem,numeric,g cm-3,stem tissue density,
dry_mass_bark,numeric,g,dry mass of bark,
displacement_mass_wood,numeric,g,displacement mass of wood (stem with bark removed) when submerged in water,
dry_mass_wood,numeric,g,dry mass of wood (stem with bark removed),
denisty_wood,numeric,g cm-3,wood density,
notes,string,,notes,
