"variable","units","description"
"spp","","species code"
"growth","","recruitment type: resp=resprout; seed = seedling"
"site","","site name"
"indiv","","individual number"
"flow","","evidence of flowering: yes or no"
"heigth_cm","cm","height of plant"
"diam_mm","mm","diameter at 10% of height"
"collector","","collected by"
"collection_date","","date of data collection"
"notes","","notes"
"sampled","","was individual cut for trait and biomass estimates?"
"date_last_fire","","date of last fire at this site"
"age_yr","yr","estimated age = collection date - date of last fire"
